Scopes,Page
Provide and install a building as per the design specifications.,['q07wbgRPl3']
Construct a ditch/swale as per the provided details.,['q07wbgRPl3']
Install water hydrant and valve as per the specified requirements.,['q07wbgRPl3']
Install sanitary and manhole as per the design specifications.,['q07wbgRPl3']
Install water manhole as per the provided details.,['q07wbgRPl3']
Install storm manhole and catch basin as per the design specifications.,['q07wbgRPl3']
Construct retaining wall as per the provided details.,['q07wbgRPl3']
Remove existing asphalt as indicated for saw cut and removal.,['esU8apiLzu']
Protect storm inlet in place as indicated.,['esU8apiLzu']
Remove existing vegetation as indicated.,['esU8apiLzu']
Reset existing wooden fence for utility construction as indicated.,['esU8apiLzu']
Remove existing concrete sidewalk and steps as indicated.,['esU8apiLzu']
Remove existing sanitary manhole as indicated.,['esU8apiLzu']
Remove existing concrete curb and gutter as indicated.,['esU8apiLzu']
Provide and install asphalt pavement.,['7gRszv7oJj']
Provide tie bars required at all concrete construction joints between new construction and the existing section.,['7gRszv7oJj']
Provide and install concrete pavement matching existing City of Thornton Type 2 curb and gutter (Sec. IB).,['7gRszv7oJj']
Provide benches as specified in architectural plans.,['7gRszv7oJj']
Match existing City of Thornton Type 2 curb and gutter (Sec. IIB).,['7gRszv7oJj']
Provide and install CDOT perpendicular ramp.,['7gRszv7oJj']
Provide and install 6' decorative metal fence as per civil details.,['7gRszv7oJj']
Provide and install curb transition.,['7gRszv7oJj']
Provide and install cedar fence matching existing.,['7gRszv7oJj']
Provide and install concrete patio.,['7gRszv7oJj']
Provide sidewalk chase drain.,['7gRszv7oJj']
Provide and install City of Thornton Type 2 curb and gutter (Section IIB).,['7gRszv7oJj']
Provide and install City of Thornton Type 2 curb and gutter (Section IB).,['7gRszv7oJj']
Provide and install asphalt patch.,['7gRszv7oJj']
Provide and install CDOT Type 2 directional ramp.,['7gRszv7oJj']
"Provide epoxy-coated tie bars conforming to AASHTO M 284 spaced at 3 ft intervals, with at least 2 tie bars per construction joint inserted 9 inches into the existing section and centered vertically.",['7gRszv7oJj']
Provide pedestrian ramp.,['7gRszv7oJj']
Provide and install CDOT parallel curb ramps.,['7gRszv7oJj']
Provide attached sidewalk and curb and gutter poured monolithically.,['7gRszv7oJj']
Provide benches and tables as specified in architectural plans.,['7gRszv7oJj']
Provide and install CDOT perpendicular curb ramp with vertical return curb.,['7gRszv7oJj']
Provide and install 4' wide gate.,['7gRszv7oJj']
"Provide 0'-6"" transition curb at ramp as specified.",['7gRszv7oJj']
Provide expansion joint between existing curb and sidewalk.,['7gRszv7oJj']
Provide and install 5' CDOT inlet type R.,['7gRszv7oJj']
Provide pedestrian stairs as detailed in sheet 17.,['7gRszv7oJj']
Provide trash enclosure as specified in architectural plans.,['7gRszv7oJj']
Retrofit outlet structure with orifice plate and trash screen as detailed in sheet 19.,['7gRszv7oJj']
Provide squared radius with cross pan for local streets as per civil details.,['7gRszv7oJj']
Provide playground area as specified in playground design plans.,['7gRszv7oJj']
Provide curb transition tying into existing concrete curb.,['7gRszv7oJj']
"Provide and construct a building with 56,390 square feet and 1.29 acres.",['R79k0hv3Ip']
Provide and install a retaining wall as shown.,['R79k0hv3Ip']
"Provide and construct a building with 13,030 gross square feet.",['R79k0hv3Ip']
Provide and construct a commercial building as specified.,['R79k0hv3Ip']
Provide and install metal decorative fencing as shown.,['R79k0hv3Ip']
Provide and install water hydrant and valve as indicated.,['R79k0hv3Ip']
Provide and mark parking spaces with 4' white parking stripes (typical).,['R79k0hv3Ip']
Provide and install non-street name signs as required.,['R79k0hv3Ip']
Provide and designate accessible parking spaces measuring 12'x18'.,['R79k0hv3Ip']
Provide and install a stop sign (R1-1) as shown.,['R79k0hv3Ip']
"Provide and install international symbols of accessibility with white paint, 3' minimum stroke width, 28' high by 24' wide minimum.",['R79k0hv3Ip']
Provide and install sanitary and manholes as required.,['R79k0hv3Ip']
Provide and install water manholes as required.,['R79k0hv3Ip']
Provide and designate van-accessible parking spaces measuring 12'x6'.,['R79k0hv3Ip']
Provide and mark parking spaces with 4' white stripes spaced 2' o.c.,['R79k0hv3Ip']
"Provide and construct the New Horizon Academy Daycare Center with 73,629 square feet and 1.69 acres.",['R79k0hv3Ip']
Provide and construct a TBD gross square foot building as specified.,['R79k0hv3Ip']
Provide and install storm manholes and catch basins as required.,['R79k0hv3Ip']
Provide and construct ditches/swales as shown.,['R79k0hv3Ip']
Provide and install grade break.,['Bzuq0tJ6Jv']
Match existing conditions as noted.,['Bzuq0tJ6Jv']
Provide and install bottom of stairs.,['Bzuq0tJ6Jv']
Provide and install 4-5 inch concrete stairs.,['Bzuq0tJ6Jv']
Provide and install City of Thornton Type 2 curb & gutter Section IIB.,['Bzuq0tJ6Jv']
Provide and install City of Thornton Type 2 curb & gutter Section IB.,['Bzuq0tJ6Jv']
Provide and install top of stairs.,['Bzuq0tJ6Jv']
Provide and install 100-year ponding limits.,['Bzuq0tJ6Jv']
Tie-in existing concrete curb.,['Bzuq0tJ6Jv']
Provide and install curb transition.,['Bzuq0tJ6Jv']
Provide and install proposed storm drain as detailed in sheet 11.,['raPUjH71B9']
Provide and construct proposed top of retaining wall.,['raPUjH71B9']
Abandon existing sanitary pipe in place.,['raPUjH71B9']
Begin construction of retaining wall.,['raPUjH71B9']
Flow-fill existing sanitary pipe in place.,['raPUjH71B9']
Provide and construct proposed grade at face of retaining wall.,['raPUjH71B9']
Maintain existing grade at face of retaining wall.,['raPUjH71B9']
Provide and install domestic water tap with curb stop.,['akf9DbnsIy']
Provide and install 5' CDOT inlet type R.,['akf9DbnsIy']
Match existing City of Thornton type 2 curb and gutter as per section IIB.,['akf9DbnsIy']
"Provide and install 4"" fire service connection.",['akf9DbnsIy']
Retrofit outlet structure with orifice plate and trash screen. See detail sheet 19 for specifications.,['akf9DbnsIy']
Tie-in existing storm inlet and provide asphalt patch.,['akf9DbnsIy']
Provide fire department connection on the face of the building.,['akf9DbnsIy']
Install storm area inlet as typical.,['akf9DbnsIy']
"Abandon sanitary manholes in place. Remove manhole cover and top section of barrel, flow fill to top of structure, backfill, and sod any disturbed area.",['akf9DbnsIy']
Install grease interceptor.,['akf9DbnsIy']
Provide playground area with rubber mat.,['akf9DbnsIy']
Install sidewalk chase drain.,['akf9DbnsIy']
"Install 12"" x 6"" tee with gate valve.",['akf9DbnsIy']
Provide and install 4' wide gate.,['akf9DbnsIy']
Protect sanitary manhole in place. Ensure functionality is not adversely impacted. Plug invert of abandoned line.,['akf9DbnsIy']
"Install 12"" x 4"" tee with gate valve.",['akf9DbnsIy']
Install storm underdrain for roof drains.,['akf9DbnsIy']
Provide and install water meter and vault.,['akf9DbnsIy']
"Install 6"" SDR-26 PVC sanitary service.",['akf9DbnsIy']
Provide and install Type K copper piping.,['akf9DbnsIy']
"Install 12"" gate valve.",['akf9DbnsIy']
Provide and install 5-year WSEL.,['Ph4QCrqeJb']
"Provide and install water main, tee, hydrant, and valve.",['Ph4QCrqeJb']
"Provide and install storm sewer, manhole, and catch basin.",['Ph4QCrqeJb']
Provide and install existing gas line.,['Ph4QCrqeJb']
Provide and install building.,['Ph4QCrqeJb']
Provide and install 100-year WSEL.,['Ph4QCrqeJb']
"Provide and install sanitary sewer, bulkhead, and manhole.",['Ph4QCrqeJb']
Provide and install metal decorative fence.,['Ph4QCrqeJb']
Provide and install proposed grade at pipe centerline.,['Ph4QCrqeJb']
Provide and install 5' CDOT curb inlet type R.,['Ph4QCrqeJb']
Provide and install water service and curb stop box.,['Ph4QCrqeJb']
Provide and install ditch/swale.,['Ph4QCrqeJb']
Provide and install water service and cleanout.,['Ph4QCrqeJb']
Provide and install retaining wall.,['Ph4QCrqeJb']
Provide and install tie-in existing concrete pan.,['peimijLJkl']
Provide and install tie-in building roof drain.,['peimijLJkl']
Provide and install 54 LF 10' perforated HDPE @ 1.30%.,['peimijLJkl']
"Provide and install 54 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 12 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 2 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 1 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 7 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 3 LF 6"" HDPE.",['peimijLJkl']
"Provide and install 6""x6"" TEE.",['peimijLJkl']
Provide and install 90° horizontal bend.,['peimijLJkl']
Provide and install 45° horizontal bend.,['peimijLJkl']
Provide and install saw cut 2' opening in curb to accommodate pan.,['peimijLJkl']
Provide and install CDOT gutter type 2.,['peimijLJkl']
Provide and install 15 LF @ 4.33%.,['peimijLJkl']
Provide and install 12' HDPE flared end section.,['peimijLJkl']
Provide and install pipe outfall.,['peimijLJkl']
Provide and install 12 in inlet.,['peimijLJkl']
"Provide and install 8""x10"" adapter.",['peimijLJkl']
Provide and install 48 LF 10' perforated HDPE @ 1.30%.,['peimijLJkl']
Provide and install cleanout as required.,['peimijLJkl']
Provide and install sanitary sewer and manholes as shown on the plan.,['d7XLBNCtHE']
"Provide and install water main, hydrants, valves, and manholes as shown on the plan.",['d7XLBNCtHE']
"Provide and install storm sewer, manholes, and catch basins as shown on the plan.",['d7XLBNCtHE']
Provide and install sanitary cleanouts as shown on the plan.,['d7XLBNCtHE']
Provide and install two-way sanitary cleanouts as shown on the plan.,['d7XLBNCtHE']
Provide and install a 1500-gallon grease interceptor as shown on the plan.,['d7XLBNCtHE']
Establish proposed grade at pipe centerline as indicated on the plan.,['d7XLBNCtHE']
Provide and install insulation boards as specified on the plan.,['d7XLBNCtHE']
Provide and install sanitary installation components as detailed on the plan.,['d7XLBNCtHE']
"Provide and install grade flange elevation for storm sewer, manhole, and catch basin.",['qQACQoniBP']
"Provide and install water main, tee, hydrant, and valve.",['qQACQoniBP']
"Install storm sewer, manhole, and catch basin at 2'-3' above final finished grade.",['qQACQoniBP']
"Provide and install 12""x4"" tee with 4"" gate valve.",['qQACQoniBP']
"Provide and install 12""x6"" swivel tee with 6"" gate valve.",['qQACQoniBP']
"Provide and install water valve manhole, bend, and cross.",['qQACQoniBP']
"Tie-in existing 12"" main for water service connection.",['qQACQoniBP']
Provide and install proposed fire hydrant.,['qQACQoniBP']
"Provide and install sanitary sewer, bulkhead, and manhole.",['qQACQoniBP']
Provide and install sanitary service and cleanout.,['qQACQoniBP']
"Tap existing 12"" water main for water service connection.",['qQACQoniBP']
Provide and install water service and curb stop box.,['qQACQoniBP']
"Provide and install 12"" gate valve.",['qQACQoniBP']
Provide and install valves fitted with a two-inch square operating nut that opens to the left (counterclockwise).,['nYJLFhUBtR']
Ensure no water service main taps are made within five feet of a fire hydrant branch main.,['nYJLFhUBtR']
Ensure hydrant bases do not exceed six feet in depth from the top of finished grade.,['nYJLFhUBtR']
"Paint each hydrant with OSHA enamel, safety yellow, or an approved equivalent.",['nYJLFhUBtR']
Construct fire hydrant assemblies as per the fire hydrant assembly details.,['nYJLFhUBtR']
Ensure the main valve opening in the hydrant is at least five inches in diameter.,['nYJLFhUBtR']
Limit height extensions to only two per hydrant.,['nYJLFhUBtR']
Fabricate hydrants using cast iron with full bronze mountings.,['nYJLFhUBtR']
Plumb hydrants vertically with the pumper nozzle facing the street.,['nYJLFhUBtR']
Maintain a minimum distance of six feet between driveways and hydrants.,['nYJLFhUBtR']
Ensure threads on nozzles meet national standards.,['nYJLFhUBtR']
Provide operating nuts and nozzle covers meeting national standard pentagon measurements.,['nYJLFhUBtR']
Install butterfly valves with flanged ends or mechanical joint connections.,['nYJLFhUBtR']
Construct shafts as one-piece units using stainless steel extending completely through the valve disc body.,['nYJLFhUBtR']
Avoid horizontal bends or offsets when installing fire hydrant branch mains.,['nYJLFhUBtR']
Construct hydrant drain pits with a minimum of 13 cubic feet of washed rock and polyethylene cover around the base.,['nYJLFhUBtR']
Test hydrants according to AWWA Specification C-502.,['nYJLFhUBtR']
Ensure the inlet fits a six-inch pipe with sufficient barrel length for a five-foot trench.,['nYJLFhUBtR']
Ensure the valve operator is accessible through the manhole opening.,['nYJLFhUBtR']
Pad the area around the hydrant on undisturbed soil or 18 inches of fractured rock.,['nYJLFhUBtR']
Design shaft seals for use with standard split-V type packing or O-ring seals.,['nYJLFhUBtR']
Megalug fire hydrant assemblies in accordance with Subsection 204.1(N).,['nYJLFhUBtR']
"Provide and install minimum 4"" perforated sub-drain as per specifications.",['I0RkmScUxh']
Install sewer main bedding and underdrain according to the provided detail.,['I0RkmScUxh']
Extend service stub-ins at least to the property line and plug with a watertight compression stop.,['I0RkmScUxh']
Place a two (2) inch by four (4) inch wood marker vertically prior to backfilling.,['I0RkmScUxh']
"Chisel an ""X"" in the curb head at the location where the service crosses underneath the curb.",['I0RkmScUxh']
Reaffirm the location of the service stub-out by re-excavation if the marker is not present during chiseling.,['I0RkmScUxh']
"Mark sanitary sewer locations with an ""X"" on the curb.",['I0RkmScUxh']
Paint the marker post OSHA safety yellow.,['I0RkmScUxh']
Paint the top six inches of the marker post red.,['I0RkmScUxh']
"Stencil the manhole number and distance from the marker post to the centerline of the manhole, valve, A.R.V., etc., in red two-inch tall numbers.",['I0RkmScUxh']
Face the lettering towards the item being marked.,['I0RkmScUxh']
"Locate the marker post five feet from the centerline of the cover of the manhole, valve, ARV, etc.",['I0RkmScUxh']
Provide a clean-out with an iron body.,['I0RkmScUxh']
Install a ferrule with a brass screw plug for the clean-out.,['I0RkmScUxh']
Provide and install sidewalk to shoulder transition.,['Srmxoabrvh']
Provide heavy duty load rating.,['Srmxoabrvh']
"Provide manhole cover by East Jordan Iron Works, Inc.",['Srmxoabrvh']
Provide storm drainage pipe bedding.,['Srmxoabrvh']
Provide ramp length - parallel ramp length is dependent upon the ramp slope and the change of elevation from the turning space to the sidewalk. Where terrain is sloping a ramp is not required to chase grade more than 15 ft. regardless of the resulting ramp slope.,['Srmxoabrvh']
Provide and install curb ramp.,['Srmxoabrvh']
Provide ramp running slope - 8.3% max.,['Srmxoabrvh']
Provide polyvinyl chloride pipe (PVC).,['Srmxoabrvh']
Provide high density polyethylene (HDPE).,['Srmxoabrvh']
Provide ramp cross slope - 2.0% max.,['Srmxoabrvh']
Provide turning space.,['Srmxoabrvh']
"Provide turning space dimensions - provide a turning space at the bottom of parallel ramps with a width equal to the width of the curb ramp. Provide 4 ft. minimum, measured in the direction of pedestrian street crossing. The turning space may contain the detectable warning surface.",['Srmxoabrvh']
Provide turning space running slope - 2.0% max. Turning space running slope is measured perpendicular to the back of curb.,['Srmxoabrvh']
Provide ramp width - provide a ramp width equal to the adjoining sidewalk. Provide 4 ft. width minimum. Ramps servicing shared use paths shall match the width of the path.,['Srmxoabrvh']
Provide detectable warning surface.,['Srmxoabrvh']
