Trade,Scope ,Pg # 1 ,Pg # 2,Pg # 3,Pg # 4,Pg # 5,Pg # 6,Pg # 7,"Indicator (Key Notes, unless specified)",Addtl Notes ,Question?
Excavating ,Remove existing vegetation ,CS 4,,,,,,,,,
Excavating ,Demo 4 existing asphalt patches ,CS 4,,,,,,,,,
Excavating ,Existing concrete curb and gutter to be removed in 4 locations ,CS 4,,,,,,,,,
Excavating ,Remove existing sanitary manhole ,CS 4,,,,,,,,,
Erosion Control ,Storm Inlet to be protected in place ,CS 4,,,,,,,,,
Concrete ,Flow fill existing sanitary line and abandon in place ,CS 4,,,,,,,,,
Excavating ,Existing concrete sidewalk and steps to be removed ,CS 4,,,,,,,,,
,,,,,,,,,,,
Concrete,Provide an install city sidewalk to be 5'5'' wide ,CS 5,CS 17,,,,,,,"pg17 in civil contains 6'' concrete, general notes in arch plans contain 4'' and 
structurals in arch plans contain 4.5'' thick concrete, also contains info about joint distances
pg16 also introduces a conflict as CDOT specifies 4'' thick concrete w/ those vertical ramps 
general schema of supremacy is as follows: general notes < structural < city specifications ",
Concrete,Provide and install city sidewalk tie-ins,CS 5 ,,,,,,,,important note abt rebar at the top right ,
Concrete,Provide and install expansion joint between curb and city sidewalk ,CS 5 ,X-1,G-402 ,,,,,"GN3, GN7.92","GN(General Note)

X-1 - GN3 
GN7.92 - note on joint sealants expected composition ",
Conrete ,Provide and install concrete and flatowork at building perimeter ,CS 5,CS 17 ,X-1,A-101,,,,"GN4, 9","X-1 - referenced again
A-101 - referenced again ",
,Provide and install concrete at playground,,,X-1 ,,,,,"3, GN3","Concrete around playground not noted around civil plans
Note the difference in joint spacing for playground concrete, city concrete, building perimeter concrete",
Concrete ,Provide and install concrete/flatwork for trash enclosure ,CS 5,CS 17 ,,,,,,,,
Conrete ,Provide and install trash enclosure ,CS 5,X-1,A-202,S4.2,,,,"12, E1","CS 5 - intial catch
X-1 - Architecutral catch
A-202 - trash enclosure design specifications, see D1 for overplan 
S4.2 - wall section on S4.2 ",
,Provide and install footing and X cubic yards of concrete for concrete wall for trash enclosure. ,,,A-202,,,,,E6,S4.2 - elevation 6 ,
,Provide and install X lineal feet of 8'' CMU wall at 6' high w/ #5 rebar 4' O.C. max in solid grouted core,,,A-202,,,,,E6,,
,Provide and install X lineal feet of 2 by 4 horizontal wood studs,,,A-202,,,,,E6,,
,Provide and install X lineal feet of 2 by 6 horizontal wood studs,,,A-202,,,,,E6,,
,Provide and install 5/8'' plywood sheathing,,,A-202,,,,,E6,,
,Provide and install weather resistant barrier,,,A-202,,,,,E6,,
,Provide and install fiber cement lap siding ,,,A-202,,,,,E6 ,,
,Provide and install X lineal feet of prefinished metal flashing at lap siding,,,A-202,,,,,E6,,
,Provide and install X lineal feet metal coping cap,,,A-202,,,,,E6,,
,Provide and install X cubic feet of continous bead sealant,,,A-202,,,,,E6,,
,Provide and install X lineal feet of 1/2'' plywood sheathing ,,,A-202,,,,,E6 ,,
,Provide and install X lineal feet of rebar at trash enclosure as specified,,,A-202,,,,,E6,,
,Provide and install #5 dowel to foundation wall ,,,A-202,,,,,E6,,
,Provide and install X square feet of expansion joint material,,,A-202,,,,,E6,,
,Provide and install trash enclosure gate ,,,A-202,G402,,,,"E2A, GN7.92","A-202 - elevation 2a -  Gate to be made of 1x6 cedar board fence 
GN7.92 - note on joint sealants expected composition ",
,Provide and apply Navajo Beige paint to trash enclosure gate,,,A-202,,,,,E2A,,
,Provide and install 4'' prefinished heathered moss james hardie trim,,,A-202,,,,,"E2A, E2B",,
,Provide and install 6'' prefinished navajo beige james haride lap siding ,,,A-202,,,,,"E2A, E2B",,
,Provide and install X lineal feet of precast stone sill ,,,A-202,,,,,E2A,,
,Provide and install X lineal feet of stone veneer,,,A-202,,,,,E2A,,
,Provide and install galvanized tube steel for trash enclosure gate jamb,,,A-202,,,,,E3,,
,Provide and install swing latch ,,,A-202,,,,,E4,A-202 - elevation 4,
,Provide and install stop plate,,,A-202,,,,,E4,A-202 - elevation 4,
,Provide and install cane bolt ,,,A-202,,,,,E4,A-202 - elevation 4,
,Provide and install two 6'' diameter bollards at trash enclosure ,,,A-202,,,,,E5,"A-202 - should be 6'' diameter w/ 7' long std. steel, pipe filled w/ concrete",
,Provide and install 3/4'' diameter galvinized machine bolt 10'' long ,,,A-202,,,,,E5,,
,Provide and install round concrete crown to bollards ,,,A-202,,,,,E5,,
,"Provide and apply paint to two bollards, as per finish schedule",,,A-202,,,,,E5,,
Concrete,Provide and install building concrete patio ,CS 5,,,,,,,,,
Concrete ,Provide and install curb and gutter at parking lot ,CS 5,CS 7,CS 9 ,CS 17 ,A-101,,,18,A-101 - referenced ,
Concrete ,Provide and install curb and gutter at 4 asphalt patches (after site utilites),CS 5,CS 7,CS 9 ,CS 17 ,,,,,"Note the (after site utilities wouldn't be caught by the LLM) until at least pg7 w/ good intuition 
but def should catch by page 9 
pg17 has all specifics for curb and gutter install  ",
Concrete,"Provide and install CDOT perpandicular, vertical, pedestrian, directional, directional parallel curb ramps ",CS 5,CS 16,CS 17,A-101,,,,8,"pg16/17 for specifics, note the subclass for each ramp and the faint X's on designs that
should not be used; could add CS 7 for means and methods for conrete sub 
A-101 - specifcs for a handicap ramp where the CDOT perp. ramp is located 
scope development from row 20 to be broken out b/c of A-101",Break out the ramps into different scope?
,Provide and install one CDOT perpandicular ramps ,CS 5,CS 16,A-101,,,,,8,"note installation of 9' x 2' ADA surface also it's flipped in the wrong order and there's descrepency w/ 
drawings saying it should be 9' x 2.5' ",
,Provide and install one CDOT type 2 directional ramp ,CS 5,CS 17 ,,,,,,,,
